STATION_ID	측정소 구분	권역	중권역	소권역	세부권역	위도	경도	사용여부	등록일
1114A	china	동북	랴오닝성	다롄시		38.856111111	121.51805556	Y	2019-05-21
1113A	china	동북	랴오닝성	다롄시		38.863888889	121.625	Y	2019-05-21
1118A	china	동북	랴오닝성	다롄시		39.0631	121.9769	Y	2019-05-21
1110A	china	동북	랴오닝성	다롄시		38.951111111	121.565	Y	2019-05-21
1117A	china	동북	랴오닝성	다롄시		39.0511	121.7769	Y	2019-05-21
1115A	china	동북	랴오닝성	다롄시		38.808055556	121.25888889	Y	2019-05-21
1111A	china	동북	랴오닝성	다롄시		38.885	121.56388889	Y	2019-05-21
1109A	china	동북	랴오닝성	다롄시		38.973888889	121.61194444	Y	2019-05-21
1116A	china	동북	랴오닝성	다롄시		39.1311	121.7481	Y	2019-05-21
1112A	china	동북	랴오닝성	다롄시		38.911944444	121.63305556	Y	2019-05-21
2019A	china	동북	랴오닝성	다롄시	와팡뎬 시	39.617	122.011	Y	2019-05-21
2018A	china	동북	랴오닝성	다롄시	와팡뎬 시	39.625	121.989	Y	2019-05-21
13724	china	동북	랴오닝성	다롄시	와팡뎬 시	39.6303582317164	121.988258660666	Y	2020-07-03
11304	china	동북	랴오닝성	다롄시	와팡뎬 시	39.6273700248544	121.979827215726	Y	2020-06-25
12112	china	동북	랴오닝성	다롄시	중산 구	41.8217288213167	123.556142779737	Y	2021-01-01
1379A	china	동북	랴오닝성	다롄시	중산 구	22.5211	113.3769	Y	2019-05-21
1380A	china	동북	랴오닝성	다롄시	중산 구	22.5497	113.3881	Y	2019-05-21
1381A	china	동북	랴오닝성	다롄시	중산 구	22.5111	113.4075	Y	2019-05-21
1382A	china	동북	랴오닝성	다롄시	중산 구	22.4853	113.4411	N	2019-05-21
18853	china	동북	랴오닝성	다롄시	중산 구	38.8766711234741	121.549826244581	Y	2021-01-01
1601A	china	동북	랴오닝성	단둥시		40.1503	124.4256	Y	2019-05-21
1602A	china	동북	랴오닝성	단둥시		40.1461	124.3933	Y	2019-05-21
1603A	china	동북	랴오닝성	단둥시		40.1194	124.3678	Y	2019-05-21
1600A	china	동북	랴오닝성	단둥시		40.0625	124.3303	Y	2019-05-21
2212A	china	동북	랴오닝성	랴오양시		41.1953	123.2	Y	2019-05-21
